P_peak_W,P_mean_W,E_engine_J,M_peak_Nm,M_mean_Nm,F_kch_peak_N,F_chv1_peak_N,F_v1v2_peak_N,a_peak_m_s2,a_rms_m_s2,j_peak_m_s3,j_rms_m_s3,u1_peak_m,u2_peak_m,du1_peak_m_s,du2_peak_m_s,t_manoeuvre_s,distance_m,v_end_m_s,v_mean_m_s,settling_time_s,run_id,configuration,scenario,scale,wall_time_s,braking_time_s,braking_distance_m,mean_decel_m_s2
92300.00000000001,83583.25084438102,2214185.586554424,35499.60993090538,9458.341747177468,4004.012320154677,866.2876305783282,433.1438153459821,0.6187797611192991,0.6108119182399794,7.493151341217679,0.6060797187404406,0.004331438152891717,0.0028876254356394655,0.022817474473699372,0.022717000756442018,26.490780918259475,216.95051499075635,0.000999999999992029,8.189660907965537,26.490780918259475,3,compliant,braking,full_scale,,26.490780918259475,216.95051499075635,-0.6092155871131604
92300.00000000001,73987.10112987658,269560.139983531,35499.984096962566,19582.62167091632,41564.70895133679,0.0,0.0,2.5065353069974208,1.203012914430284,24.037313931550216,6.766220165178693,0.0,0.0,0.0,0.0,3.6433396614681044,8.180312757993045,4.0,2.2452786624319065,0.0,4,rigid,start_off,full_scale,0.12287306785583496,,,
92300.00000000001,74669.1497282542,273095.7288803504,35499.97751552836,19599.18601157594,38281.808080199036,7824.580203046344,6523.931373078839,2.411907171830535,1.1982237279569794,30.919574459332523,7.380809897720491,0.03912288558845957,0.04349263903230746,0.16910913115952125,0.15895738519782118,3.6574104549768727,8.30144270026035,4.0,2.2697596688059547,3.6574104549768727,4,compliant,start_off,full_scale,0.6937355995178223,,,
92300.00000000001,84728.68333070748,2239221.398388005,35499.75823997926,9825.896845717172,4403.350495901613,0.0,0.0,0.5910237309079358,0.5834754698243657,6.643966184024233,0.5933317666625185,0.0,0.0,0.0,0.0,26.428138740785357,206.23111471282755,0.0010000000000044281,7.8034671585102595,0.0,4,rigid,braking,full_scale,,26.428138740785357,206.23111471282755,-0.581892607835921
92300.00000000001,84748.09936046238,2228196.153619745,35499.85498358889,9858.386989354332,4403.071809239998,2304.5028598418708,1890.865261793373,0.6476580771661702,0.5862643711801528,8.168302153896192,0.6499902427324208,0.011522514077056843,0.012605767613072368,0.04266626401948026,0.03994653024440389,26.291989678051323,204.43825996077248,0.0009999999999784758,7.775686076197669,26.291989678051323,4,compliant,braking,full_scale,,26.291989678051323,204.43825996077248,-0.5849058494882838
92300.00000000001,77428.6878232625,347383.6637762989,35499.97574135144,18096.227028949295,41564.394888394454,0.0,0.0,2.5064930578441817,1.1141975936262063,24.035515581198183,6.097079436691083,0.0,0.0,0.0,0.0,4.4864981383803295,11.768793153097022,4.500000000000001,2.6231579390377786,0.0,5,rigid,start_off,full_scale,0.13167333602905273,,,
92300.00000000001,78089.45185496662,354346.7158634317,35499.84752730101,18061.421960604806,38281.71808192447,7824.582658682058,6523.935262635255,2.41188759714953,1.1044892838982494,30.91602712243099,6.6256861083453,0.03912283380877493,0.04349264463069446,0.16910625579909622,0.15896022530490275,4.537702691543411,12.048285038425037,4.5,2.655150835999671,4.537702691543411,5,compliant,start_off,full_scale,0.7324929237365723,,,
92300.00000000001,84728.68333070748,2239221.398388005,35499.75823997926,9825.896845717172,4403.350495901613,0.0,0.0,0.5910237309079358,0.5834754698243657,6.643966184024233,0.5933317666625185,0.0,0.0,0.0,0.0,26.428138740785357,206.23111471282755,0.0010000000000044281,7.8034671585102595,0.0,5,rigid,braking,full_scale,,26.428138740785357,206.23111471282755,-0.581892607835921
92300.00000000001,84748.09936046238,2228196.153619745,35499.85498358889,9858.386989354332,4403.071809239998,2304.5028598418708,1890.865261793373,0.6476580771661702,0.5862643711801528,8.168302153896192,0.6499902427324208,0.011522514077056843,0.012605767613072368,0.04266626401948026,0.03994653024440389,26.291989678051323,204.43825996077248,0.0009999999999784758,7.775686076197669,26.291989678051323,5,compliant,braking,full_scale,,26.291989678051323,204.43825996077248,-0.5849058494882838
92300.00000000001,80073.26055098194,436951.7474184221,35499.99973926044,16735.46594581386,41564.706384303696,0.0,0.0,2.506484128056343,1.0334094098930118,24.032922723806735,5.527825622812717,0.0,0.0,0.0,0.0,5.4568996492932715,16.383679050786608,5.0,3.002378672603192,0.0,6,rigid,start_off,full_scale,0.13902926445007324,,,
